State Name,Dist Name,RICE YIELD (Kg per ha),MAIZE YIELD (Kg per ha),CHICKPEA YIELD (Kg per ha),PIGEONPEA YIELD (Kg per ha),COTTON YIELD (Kg per ha)
Punjab,Jalandhar,3501.0015,2838.8705,379.16675,959.2717500000001,129.16725000000002
Punjab,Kapurthala,3366.69075,2966.915,100.0,350.0,32.5
Punjab,Ludhiana,4041.28625,2994.95625,400.0,886.3025,370.14725
Punjab,Patiala,3600.5862500000003,2467.00475,800.94925,939.8489999999999,324.74025
Punjab,Roopnagar / Ropar,3361.1845000000003,2287.75075,779.516,827.305,54.6875
Punjab,Sangrur,3999.6580000000004,2124.1475,961.2875,912.8057500000001,429.35625
Rajasthan,Ajmer,1039.63775,680.25575,601.12375,158.75,203.93575
Rajasthan,Alwar,1299.4257499999999,1241.9845,1004.2997499999999,780.6945,209.381
Rajasthan,Banswara,667.49,1076.0862499999998,912.9200000000001,490.93050000000005,184.1575
Rajasthan,Barmer,0.0,735.39125,531.3725000000001,0.0,168.03625
Rajasthan,Bharatpur,1348.651,1047.26775,1079.12175,822.0797500000001,236.34225
Rajasthan,Bhilwara,1124.133,1188.0575000000001,772.62675,243.04149999999998,200.46475
Rajasthan,Bikaner,867.3612499999999,275.0,715.57175,100.0,236.9725
Rajasthan,Bundi,1608.084,1467.6975,915.713,591.6705,88.04175000000001
Rajasthan,Chittorgarh,1176.79,1712.51525,821.7120000000001,585.471,232.46725
Rajasthan,Churu,50.0,50.0,287.048,0.0,137.91825
Rajasthan,Dungarpur,667.0375,868.0805,977.4667499999999,416.45124999999996,307.98249999999996
Rajasthan,Ganganagar,2712.56575,1194.09,614.3465,849.4639999999999,292.99875000000003
Rajasthan,Jaipur,411.3095,938.9155000000001,856.126,582.1105,320.12125000000003
Rajasthan,Jaisalmer,25.0,68.75,613.28025,31.25,163.50074999999998
Rajasthan,Jalore,25.0,1197.24225,603.94225,41.47425,290.71675
Rajasthan,Jhalawar,1421.8265,1385.74275,749.2537500000001,540.2585,182.5845
Rajasthan,Jhunjhunu,41.30425,0.0,788.0542499999999,59.0385,189.26074999999997
Rajasthan,Jodhpur,25.0,739.58325,708.74375,8.33325,321.4625
Rajasthan,Kota,1762.9232499999998,1363.02225,948.9087499999999,584.2995,49.75
Rajasthan,Nagaur,0.0,1136.32925,734.8905,12.5,318.9205
Rajasthan,Pali,337.5,808.4675,729.02725,265.482,262.22925
Rajasthan,Sikar,50.0,998.97925,909.848,266.06525,195.0585
Rajasthan,Sirohi,587.5,937.06975,724.8132499999999,484.797,285.82225
